student_id,student_name,year,batch,branch,cgpa,placement_status,is_placed,company,placed_type,ppc_verification,package_lpa
1,Student 0001,2022,2022-7642,CE,7.48,In Process,0,,,Not Joined,0.0
2,Student 0002,2022,2022-7850,EE,9.26,Selected,1,Accenture,T&P Placed,Not Verified,8.0
3,Student 0003,2022,2022-7890,ME,6.76,Shortlisted,0,,,Pending,0.0
4,Student 0004,2022,2022-7857,CSE,9.11,Selected,1,Accenture,T&P Placed,Not Verified,9.0
5,Student 0005,2022,2022-7751,CSE,7.76,Rejected,0,,,Not Joined,0.0
6,Student 0006,2022,2022-7819,CE,6.86,Rejected,0,,,Pending,0.0
7,Student 0007,2022,2022-7730,ECE,7.11,In Process,0,,,Not Verified,0.0
8,Student 0008,2022,2022-7872,ME,5.62,Rejected,0,,,Not Verified,0.0
9,Student 0009,2022,2022-7635,CE,8.07,Rejected,0,,,Not Verified,0.0
10,Student 0010,2022,2022-7815,CSE,7.28,Rejected,0,,,Pending,0.0
11,Student 0011,2022,2022-7749,EE,8.77,Rejected,0,,,Verified,0.0
12,Student 0012,2022,2022-7769,CE,8.26,In Process,0,,,Not Verified,0.0
13,Student 0013,2022,2022-7834,EE,8.9,Rejected,0,,,Pending,0.0
14,Student 0014,2022,2022-7687,ECE,7.86,Selected,1,Microsoft,Self Placed,Verified,7.0
15,Student 0015,2022,2022-7847,CE,7.25,Selected,1,Microsoft,BP Placed,Verified,12.5
16,Student 0016,2022,2022-7830,ECE,8.0,Rejected,0,,,Pending,0.0
17,Student 0017,2022,2022-7761,ME,8.95,Shortlisted,0,,,Pending,0.0
18,Student 0018,2022,2022-7695,CSE,8.18,Rejected,0,,,Not Verified,0.0
19,Student 0019,2022,2022-7648,CSE,8.07,Rejected,0,,,Not Verified,0.0
20,Student 0020,2022,2022-7866,ECE,6.32,Rejected,0,,,Not Verified,0.0
21,Student 0021,2022,2022-7607,CE,8.02,Selected,1,TCS,BP Placed,Verified,18.0
22,Student 0022,2022,2022-7776,ECE,9.16,Selected,1,Google,Off Campus Placed,Verified,6.2
23,Student 0023,2022,2022-7778,ME,7.84,Selected,1,Capgemini,T&P Placed,Verified,18.0
24,Student 0024,2022,2022-7624,CSE,8.21,Shortlisted,0,,,Not Verified,0.0
25,Student 0025,2022,2022-7678,ME,6.79,Selected,1,Wipro,T&P Placed,Verified,15.2
26,Student 0026,2022,2022-7608,CE,8.48,Selected,1,Amazon,BP Placed,Verified,7.0
27,Student 0027,2022,2022-7618,CE,6.5,Rejected,0,,,Pending,0.0
28,Student 0028,2022,2022-7688,CSE,7.17,In Process,0,,,Not Joined,0.0
29,Student 0029,2022,2022-7760,ME,8.47,Selected,1,Google,BP Placed,Pending,18.0
30,Student 0030,2022,2022-7739,ME,6.34,Selected,1,TCS,T&P Placed,Verified,8.2
31,Student 0031,2022,2022-7827,CE,8.68,Shortlisted,0,,,Not Verified,0.0
32,Student 0032,2022,2022-7703,ECE,6.97,Selected,1,TCS,Off Campus Placed,Pending,7.5
33,Student 0033,2022,2022-7811,CSE,8.07,Selected,1,Microsoft,Off Campus Placed,Verified,9.5
34,Student 0034,2022,2022-7760,ME,7.05,Rejected,0,,,Not Verified,0.0
35,Student 0035,2022,2022-7797,EE,6.36,Interview,0,,,Pending,0.0
36,Student 0036,2022,2022-7747,ME,6.46,Rejected,0,,,Not Verified,0.0
37,Student 0037,2022,2022-7897,EE,7.14,Shortlisted,0,,,Not Verified,0.0
38,Student 0038,2022,2022-7735,ME,7.18,In Process,0,,,Not Verified,0.0
39,Student 0039,2022,2022-7620,EE,6.86,Interview,0,,,Not Joined,0.0
40,Student 0040,2022,2022-7758,CE,6.84,Rejected,0,,,Pending,0.0
41,Student 0041,2022,2022-7718,EE,7.61,Shortlisted,0,,,Verified,0.0
42,Student 0042,2022,2022-7687,CE,7.79,Interview,0,,,Not Verified,0.0
43,Student 0043,2022,2022-7766,CE,8.19,Selected,1,TCS,Self Placed,Verified,9.0
44,Student 0044,2022,2022-7840,EE,8.47,Selected,1,NVIDIA,Self Placed,Verified,9.0
